197	19980410T2100	  0.40
198	19980411T0900	  0.20
199	19980411T2100	  0.40
200	19980412T0900	  1.20
201	19980412T2100	  0.00
202	19980413T0900	  0.40
203	19980413T2100	  1.20
204	19980414T0900	  0.80
205	19980414T2100	  0.20
206	19980415T0900	  1.20
207	19980415T2100	  0.80
208	19980416T0900	  0.60
209	19980416T2100	  0.00
210	19980417T0900	  5.40
211	19980417T2100	  0.00
212	19980418T0900	  0.00
213	19980418T2100	  0.00
214	19980419T0900	  0.00
215	19980419T2100	 12.20
216	19980420T0900	  1.80
217	19980420T2100	  0.00
218	19980421T0900	  0.60
219	19980421T2100	  4.00
220	19980422T0900	  2.40
221	19980422T2100	  2.80
222	19980423T0900	  0.40
223	19980423T2100	  7.20
224	19980424T0900	  1.20
225	19980424T2100	  0.40
226	19980425T0900	  3.60
227	19980425T2100	  5.60
228	19980426T0900	  4.40
229	19980426T2100	  4.00
230	19980427T0900	  0.40
231	19980427T2100	  5.00
232	19980428T0900	  0.60
233	19980428T2100	  2.20
234	19980429T0900	  0.00
235	19980429T2100	  0.20
236	19980430T0900	  0.00
237	19980430T2100	  0.00
238	19980501T0900	  0.00
239	19980501T2100	  0.00
240	19980502T0900	  0.00
241	19980502T2100	  0.00
242	19980503T0900	  0.00
243	19980503T2100	  0.00
244	19980504T0900	  0.00
245	19980504T2100	  0.00
246	19980505T0900	  1.00
247	19980505T2100	 10.00
248	19980506T0900	  7.00
249	19980506T2100	  0.40
250	19980507T0900	  2.80
251	19980507T2100	  1.00
252	19980508T0900	  0.20
253	19980508T2100	  0.00
254	19980509T0900	  0.60
255	19980509T2100	  0.00
256	19980510T0900	  0.00
257	19980510T2100	  5.40
258	19980511T0900	  3.40
259	19980511T2100	  0.80
260	19980512T0900	  0.20
261	19980512T2100	  0.00
262	19980513T0900	  0.00
263	19980513T2100	  0.00
264	19980514T0900	  1.80
265	19980514T2100	  0.00
266	19980515T0900	  0.00
267	19980515T2100	  0.00
268	19980516T0900	  0.00
269	19980516T2100	  0.00
270	19980517T0900	  0.00
271	19980517T2100	  0.00
272	19980518T0900	  0.00
273	19980518T2100	  0.00
274	19980519T0900	  0.00
275	19980519T2100	  0.00
276	19980520T0900	  0.00
277	19980520T2100	  0.00
278	19980521T0900	  0.00
279	19980521T2100	  0.00
280	19980522T0900	  0.00
281	19980522T2100	  0.00
282	19980523T0900	  0.00
283	19980523T2100	  0.20
284	19980524T0900	  0.00
285	19980524T2100	  0.00
286	19980525T0900	  0.00
287	19980525T2100	  0.40
288	19980526T0900	  0.00
289	19980526T2100	  4.20
290	19980527T0900	  0.20
291	19980527T2100	  0.00
292	19980528T0900	  0.00
293	19980528T2100	  0.00
294	19980529T0900	  0.00
295	19980529T2100	  0.00
296	19980530T0900	  0.00
297	19980530T2100	  0.00
298	19980531T0900	  3.00
299	19980531T2100	  0.00
300	19980601T0900	  0.00
301	19980601T2100	  7.80
302	19980602T0900	 18.60
303	19980602T2100	  9.40
304	19980603T0900	  0.00
305	19980603T2100	  0.00
306	19980604T0900	  0.00
307	19980604T2100	  0.00
308	19980605T0900	  0.00
309	19980605T2100	  0.00
310	19980606T0900	  4.80
311	19980606T2100	  3.80
312	19980607T0900	  6.40
313	19980607T2100	  1.40
314	19980608T0900	  0.00
315	19980608T2100	 14.80
316	19980609T0900	  3.00
317	19980609T2100	  3.20
318	19980610T0900	  5.20
319	19980610T2100	  0.20
320	19980611T0900	  5.20
321	19980611T2100	  0.00
322	19980612T0900	  0.00
323	19980612T2100	  0.00
324	19980613T0900	  9.20
325	19980613T2100	 15.80
326	19980614T0900	  3.00
327	19980614T2100	  0.20
328	19980615T0900	  0.00
329	19980615T2100	  0.20
330	19980616T0900	  0.00
331	19980616T2100	  2.00
332	19980617T0900	  2.60
333	19980617T2100	  1.40
334	19980618T0900	 10.20
335	19980618T2100	  5.60
336	19980619T0900	  0.20
337	19980619T2100	  0.00
338	19980620T0900	  0.00
339	19980620T2100	  1.60
340	19980621T0900	  0.00
341	19980621T2100	  0.00
342	19980622T0900	  4.00
343	19980622T2100	  0.00
344	19980623T0900	  4.20
345	19980623T2100	  0.20
346	19980624T0900	  3.20
347	19980624T2100	  1.60
348	19980625T0900	  1.00
349	19980625T2100	  0.60
350	19980626T0900	  5.80
351	19980626T2100	  4.00
352	19980627T0900	  6.40
353	19980627T2100	  1.80
354	19980628T0900	  0.00
355	19980628T2100	  3.00
356	19980629T0900	  0.00
357	19980629T2100	  0.00
358	19980630T0900	  0.20
359	19980630T2100	  0.00
360	19980701T0900	  0.00
361	19980701T2100	  0.00
362	19980702T0900	  0.00
363	19980702T2100	  0.00
364	19980703T0900	  0.00
365	19980704T0900	  0.00
366	19980704T2100	  0.00
367	19980705T0900	  0.00
368	19980705T2100	  0.00
369	19980706T0900	  0.00
370	19980706T2100	  0.00
371	199807070900	  0.00
372	19980707T2100	  0.00
373	19980708T0900	  0.20
374	19980708T2100	  0.20
375	19980709T0900	  1.00
376	19980709T2100	  0.00
377	19980710T0900	  0.40
378	19980710T2100	  2.00
379	19980711T0900	  1.20
380	19980711T2100	  4.20
381	19980712T0900	  6.20
382	19980712T2100	  1.60
383	19980713T0900	  0.40
384	19980713T2100	  3.60
385	19980714T0900	  0.40
386	19980714T2100	  4.00
387	19980715T0900	  1.60
388	19980715T2100	  0.00
389	19980716T0900	  0.00
390	19980716T2100	  0.00
391	19980717T0900	  0.60
392	19980717T2100	  0.60
393	19980718T0900	  0.00
394	19980718T2100	  0.00
395	19980719T0900	  0.80
396	19980719T2100	  1.60
397	19980720T0900	  4.80
398	19980720T2100	  4.60
399	19980721T0900	  5.60
400	19980721T2100	  6.20
401	19980722T0900	  2.20
402	19980722T2100	  3.40
403	19980723T0900	  3.20
404	19980723T2100	  0.00
405	19980724T0900	  0.00
406	19980725T0900	  0.00
407	19980725T2100	  0.00
408	19980726T0900	  0.20
409	19980726T2100	  3.20
410	19980727T0900	  0.00
411	19980727T2100	  0.20
412	19980728T0900	  2.00
413	19980728T2100	  0.20
414	19980729T0900	  1.60
415	19980729T2100	  2.60
416	19980730T0900	 13.20
417	19980730T2100	  8.80
418	19980731T0900	  0.20
419	19980731T2100	  0.00
420	19980801T0900	  4.20
421	19980801T2100	  0.20
422	19980802T0900	  0.00
423	19980802T2100	  0.00
424	19980803T0900	  7.00
425	19980803T2100	 10.60
426	19980804T0900	  0.00
427	19980804T2100	  0.00
428	19980805T0900	  0.00
429	19980805T2100	  0.00
430	19980806T0900	  0.00
431	19980806T2100	  0.00
432	19980807T0900	  0.20
433	19980807T2100	  0.00
434	19980808T0900	  0.00
435	19980809T0900	  0.00
436	19980809T2100	  0.00
437	19980810T0900	  0.00
438	19980810T2100	  0.00
439	19980811T0900	  0.20
440	19980811T2100	  0.00
441	19980812T0900	  0.80
442	19980812T2100	  2.00
443	19980813T0900	  0.00
444	19980813T2100	  1.40
445	19980814T0900	  1.40
446	19980814T2100	  6.60
447	19980815T0900	  0.60
448	19980815T2100	  0.20
449	19980816T0900	  0.00
450	19980816T2100	  0.20
451	19980817T0900	  2.60
452	19980817T2100	  0.20
453	19980818T0900	  0.20
454	19980818T2100	  0.00
455	19980819T0900	  0.00
456	19980819T2100	  0.20
457	19980820T0900	  0.00
458	19980820T2100	  3.80
459	19980821T0900	  5.80
460	19980821T2100	  0.00
461	19980822T0900	  0.20
