141	19980312T2100	  7.70	  2.30
142	19980313T0900	  7.30	  6.50
143	19980313T2100	  8.70	  6.20
144	19980314T0900	  7.20	  6.20
145	19980314T2100	 11.30	  6.80
146	19980315T0900	  7.50	  6.80
147	19980315T2100	  9.40	  5.80
148	19980316T0900	  6.50	  5.40
149	19980316T2100	  8.40	  6.40
150	19980317T0900	  8.10	  6.90
151	19980317T2100	  9.80	  7.20
152	19980318T0900	  8.50	  5.10
153	19980318T2100	 11.80	  6.50
154	19980319T0900	  6.60	  1.90
155	19980319T2100	 11.00	  3.70
156	19980320T0900	  7.10	  3.50
157	19980320T2100	  9.10	  6.60
158	19980321T0900	  6.90	  5.90
159	19980321T2100	  9.20	  6.80
160	19980322T0900	  6.80	  2.40
161	19980322T2100	 10.00	  4.30
162	19980323T0900	  6.30	  4.60
163	19980323T2100	  7.60	  5.10
164	19980324T0900	  5.10	  3.50
165	19980324T2100	  7.10	  4.90
166	19980325T0900	  7.60	  6.60
167	19980325T2100	  9.20	  7.00
168	19980326T0900	  9.30	  8.40
169	19980326T2100	 10.00	  8.60
170	19980327T0900	  9.80	  6.20
171	19980327T2100	 11.80	  8.70
172	19980328T0900	  8.70	  7.20
173	19980328T2100	 14.90	  8.60
174	19980329T0900	 10.00	  7.40
175	19980330T0900	 12.50	  9.00
176	19980331T0900	 10.40	  5.00
177	19980331T0900	 11.50	  5.00
178	19980401T0900	  9.50	  6.00
179	19980401T2100	  7.80	  6.20
180	19980402T0900	  7.30	  5.70
181	19980402T2100	 10.80	  6.60
182	19980403T0900	  7.80	  4.20
183	19980403T2100	  9.80	  5.70
184	19980404T0900	  7.30	  5.90
185	19980404T2100	  8.60	  6.10
186	19980405T0900	  7.40	  5.60
187	19980405T2100	  8.50	  5.50
188	19980406T0900	  8.20	  4.80
189	19980406T2100	 10.60	  4.90
190	19980407T0900	  7.40	  1.30
191	19980407T2100	 10.70	  6.00
192	19980408T0900	  6.50	  3.70
193	19980408T2100	  6.80	  2.40
194	19980409T0900	  4.60	  3.10
195	19980409T2100	  5.10	  2.60
196	19980410T0900	  2.70	  0.40
197	19980410T2100	  3.80	  0.10
198	19980411T0900	  0.30	 -0.60
199	19980411T2100	  3.50	  0.00
200	19980412T0900	  3.10	 -1.40
201	19980412T2100	  4.90	 -0.30
202	19980413T0900	  3.40	 -0.90
203	19980413T2100	  5.40	  0.10
204	19980414T0900	  3.00	 -1.30
205	19980414T2100	  5.60	  0.20
206	19980415T0900	  0.40	 -1.30
207	19980415T2100	  5.10	  0.30
208	19980416T0900	  2.80	  0.30
209	19980416T2100	  6.70	  2.60
210	19980417T0900	  4.70	  1.50
211	19980417T2100	  7.30	  3.20
212	19980418T0900	  6.60	  1.30
213	19980418T2100	  9.90	  4.20
214	19980419T0900	  4.40	  2.10
215	19980419T2100	  6.90	  3.90
216	19980420T0900	  7.40	  6.00
217	19980420T2100	  9.80	  3.90
218	19980421T0900	  6.20	  3.60
219	19980421T2100	  8.50	  6.20
220	19980422T0900	 10.30	  7.80
221	19980422T2100	 12.40	  8.70
222	19980423T0900	  8.70	  6.70
223	19980423T2100	  9.40	  7.50
224	19980424T0900	  8.80	  6.60
225	19980424T2100	 12.30	  7.80
226	19980425T0900	  8.60	  5.90
227	19980425T2100	 12.60	  6.90
228	19980426T0900	  7.50	  5.70
229	19980426T2100	  9.00	  4.40
230	19980427T0900	  7.60	  4.40
231	19980427T2100	  9.60	  5.40
232	19980428T0900	  7.40	  1.00
233	19980428T2100	 11.30	  5.80
234	19980429T0900	  9.30	  4.60
235	19980429T2100	 12.50	  8.70
236	19980430T0900	  9.80	  6.70
237	19980430T2100	 10.80	  6.40
238	19980501T0900	  8.50	  3.30
239	19980501T2100	 12.50	  6.90
240	19980502T0900	 10.50	  4.80
241	19980502T2100	 12.40	  8.40
242	19980503T0900	  8.40	  6.20
243	19980503T2100	 11.70	  5.40
244	19980504T0900	  9.10	  2.90
245	19980504T2100	 12.60	  7.70
246	19980505T0900	  7.90	  5.70
247	19980505T2100	  9.00	  6.90
248	19980506T0900	  9.00	  7.70
249	19980506T2100	 10.20	  8.80
250	19980507T0900	 10.70	  8.50
251	19980507T2100	 12.10	  9.40
252	19980508T0900	 11.50	  8.90
253	19980508T2100	 16.40	 11.40
254	19980509T0900	 14.00	 10.50
255	19980509T2100	 15.10	  8.70
256	19980510T0900	  8.70	  5.60
257	19980510T2100	 10.50	  8.10
258	19980511T0900	  8.30	  6.80
259	19980511T2100	  9.40	  7.10
260	19980512T0900	  8.80	  7.10
261	19980512T2100	 14.20	  8.20
262	19980513T0900	 12.40	 10.50
263	19980513T2100	 18.40	 11.20
264	19980514T0900	 15.90	 13.70
265	19980514T2100	 19.60	 14.30
266	19980515T0900	 15.40	 12.70
267	19980515T2100	 20.30	 14.30
268	19980516T0900	 15.50	  9.20
269	19980516T2100	 19.80	 14.50
270	19980517T0900	 14.80	  7.90
271	19980517T2100	 17.60	 12.50
272	19980518T0900	 15.60	  7.30
273	19980518T2100	 18.70	 14.20
274	19980519T0900	 18.70	  9.10
275	19980519T2100	 20.80	 13.40
276	19980520T0900	 19.10	  9.50
277	19980520T2100	 21.50	 14.60
278	19980521T0900	 14.80	  9.10
279	19980521T2100	 16.50	  9.40
280	19980522T0900	 13.40	  7.20
281	19980522T2100	 16.60	  9.80
282	19980523T0900	 12.30	  7.40
283	19980523T2100	 13.10	 10.50
284	19980524T0900	 12.50	  8.60
285	199805242100	 16.10	 11.20
286	19980525T0900	 12.10	  9.90
287	19980525T2100	 14.00	 10.00
288	19980526T0900	 10.10	  7.30
289	19980526T2100	 11.90	  6.80
290	19980527T0900	  7.20	  3.60
291	19980527T2100	 10.90	  5.60
292	19980528T0900	  8.80	  5.30
293	19980528T2100	 12.90	  8.50
294	19980529T0900	 10.60	  8.10
295	19980529T2100	 16.30	 10.60
296	19980530T0900	 14.00	  4.60
297	19980530T2100	 17.80	 11.50
298	19980531T0900	 11.80	  8.40
299	19980531T2100	 16.50	  9.10
300	19980601T0900	 13.00	  6.60
301	19980601T2100	 16.00	 10.90
302	19980602T0900	 11.60	  8.90
303	19980602T2100	 10.50	  8.80
304	19980603T0900	 10.10	  7.40
305	19980603T2100	 13.20	  7.60
306	19980604T0900	 11.50	  4.40
307	19980604T2100	 14.30	 10.80
308	19980605T0900	 10.80	  8.30
309	19980605T2100	 13.30	  9.30
310	19980606T0900	 11.60	  9.40
311	19980606T2100	 15.60	 11.40
312	19980607T0900	 12.60	  8.90
313	19980607T2100	 14.70	 10.60
314	19980608T0900	 11.30	  7.50
315	19980608T2100	 14.10	  9.90
316	19980609T0900	 13.30	 11.10
317	19980609T2100	 14.60	  9.90
318	19980610T0900	 10.80	  8.90
319	19980610T2100	 14.40	  8.10
320	19980611T0900	  8.10	  4.80
321	19980611T2100	 11.00	  6.90
322	19980612T0900	 10.60	  3.50
323	19980612T2100	 12.80	  8.20
324	19980613T0900	  8.80	  6.60
325	19980613T2100	 13.40	  8.80
326	19980614T0900	 11.30	  9.90
327	19980614T2100	 12.70	  8.90
328	19980615T0900	  8.90	  8.00
329	19980615T2100	 10.80	  8.70
330	19980616T0900	 10.60	  9.00
331	19980616T2100	 14.50	  7.70
332	19980617T0900	 10.50	  7.00
333	19980617T2100	 12.80	 10.20
334	19980618T0900	 13.40	  9.90
335	19980618T2100	 14.80	 13.20
336	19980619T0900	 15.90	 12.40
337	19980619T2100	 22.30	 15.70
338	19980620T0900	 17.80	 13.00
339	19980620T2100	 20.70	 17.10
340	19980621T0900	 20.40	 12.70
341	19980621T2100	 16.20	 10.70
342	19980622T0900	 11.50	  9.80
343	19980622T2100	 13.90	 10.80
344	19980623T0900	 13.70	 10.20
