 ID        IDTYPE  MET_DOM     YEAR   MONTH     DAY  END_HOUR   COUNT     AMT     DUR
 425000    RAIN        NCM     1998       2      22      2100      12       0    -999
 425000    RAIN        NCM     1998       2      23       900      12       2    -999
 425000    RAIN        NCM     1998       2      23      2100      12       0    -999
 425000    RAIN        NCM     1998       2      24       900      12       0    -999
 425000    RAIN        NCM     1998       2      24      2100      12       0    -999
 425000    RAIN        NCM     1998       2      25       900      12       0    -999
 425000    RAIN        NCM     1998       2      25      2100      12       0    -999
 425000    RAIN        NCM     1998       2      26       900      12       2    -999
 425000    RAIN        NCM     1998       2      26      2100      12      48    -999
 425000    RAIN        NCM     1998       2      27       900      12       0    -999
 425000    RAIN        NCM     1998       2      27      2100      12      70    -999
 425000    RAIN        NCM     1998       2      28       900      12      28    -999
 425000    RAIN        NCM     1998       2      28      2100      12      34    -999
 425000    RAIN        NCM     1998       3       1       900      12      44    -999
 425000    RAIN        NCM     1998       3       1      2100      12      60    -999
 425000    RAIN        NCM     1998       3       2       900      12       2    -999
 425000    RAIN        NCM     1998       3       2      2100      12     112    -999
 425000    RAIN        NCM     1998       3       3       900      12     168    -999
 425000    RAIN        NCM     1998       3       3      2100      12     138    -999
 425000    RAIN        NCM     1998       3       4       900      12     222    -999
 425000    RAIN        NCM     1998       3       4      2100      12      64    -999
 425000    RAIN        NCM     1998       3       5       900      12      24    -999
 425000    RAIN        NCM     1998       3       5      2100      12      20    -999
 425000    RAIN        NCM     1998       3       6       900      12     236    -999
 425000    RAIN        NCM     1998       3       6      2100      12     276    -999
 425000    RAIN        NCM     1998       3       7       900      12     190    -999
 425000    RAIN        NCM     1998       3       7      2100      12      50    -999
 425000    RAIN        NCM     1998       3       8       900      12      20    -999
 425000    RAIN        NCM     1998       3       8      2100      12       8    -999
 425000    RAIN        NCM     1998       3       9       900      12       2    -999
 425000    RAIN        NCM     1998       3       9      2100      12       0    -999
 425000    RAIN        NCM     1998       3      10       900      12       0    -999
 425000    RAIN        NCM     1998       3      10      2100      12      64    -999
 425000    RAIN        NCM     1998       3      11       900      12      60    -999
 425000    RAIN        NCM     1998       3      11      2100      12       2    -999
 425000    RAIN        NCM     1998       3      12       900      12       0    -999
 425000    RAIN        NCM     1998       3      12      2100      12       8    -999
 425000    RAIN        NCM     1998       3      13       900      12       0    -999
 425000    RAIN        NCM     1998       3      13      2100      12       0    -999
 425000    RAIN        NCM     1998       3      14       900      12       0    -999
 425000    RAIN        NCM     1998       3      14      2100      12       0    -999
 425000    RAIN        NCM     1998       3      15       900      12       0    -999
 425000    RAIN        NCM     1998       3      15      2100      12       0    -999
 425000    RAIN        NCM     1998       3      16       900      12       0    -999
 425000    RAIN        NCM     1998       3      16      2100      12       0    -999
 425000    RAIN        NCM     1998       3      17       900      12       0    -999
 425000    RAIN        NCM     1998       3      17      2100      12       0    -999
 425000    RAIN        NCM     1998       3      18       900      12       0    -999
 425000    RAIN        NCM     1998       3      18      2100      12       0    -999
 425000    RAIN        NCM     1998       3      19       900      12       0    -999
 425000    RAIN        NCM     1998       3      19      2100      12       0    -999
 425000    RAIN        NCM     1998       3      20       900      12       0    -999
 425000    RAIN        NCM     1998       3      20      2100      12       0    -999
 425000    RAIN        NCM     1998       3      21       900      12       0    -999
 425000    RAIN        NCM     1998       3      21      2100      12       0    -999
 425000    RAIN        NCM     1998       3      22       900      12       0    -999
 425000    RAIN        NCM     1998       3      22      2100      12       0    -999
 425000    RAIN        NCM     1998       3      23       900      12       0    -999
 425000    RAIN        NCM     1998       3      23      2100      12       0    -999
 425000    RAIN        NCM     1998       3      24       900      12      22    -999
 425000    RAIN        NCM     1998       3      24      2100      12      30    -999
 425000    RAIN        NCM     1998       3      25       900      12      64    -999
 425000    RAIN        NCM     1998       3      25      2100      12      10    -999
 425000    RAIN        NCM     1998       3      26       900      12     144    -999
 425000    RAIN        NCM     1998       3      26      2100      12      44    -999
 425000    RAIN        NCM     1998       3      27       900      12       2    -999
 425000    RAIN        NCM     1998       3      27      2100      12       0    -999
 425000    RAIN        NCM     1998       3      28       900      12       0    -999
 425000    RAIN        NCM     1998       3      28      2100      12       0    -999
 425000    RAIN        NCM     1998       3      29       900      12       0    -999
 425000    RAIN        NCM     1998       3      29      2100      12       0    -999
 425000    RAIN        NCM     1998       3      31       900      12       0    -999
 425000    RAIN        NCM     1998       3      31      2100      12    -999    -999
 425000    RAIN        NCM     1998       4       2       900      12    -999    -999
 425000    RAIN        NCM     1998       4       2      2100      12      42    -999
 425000    RAIN        NCM     1998       4       3       900      12     128    -999
 425000    RAIN        NCM     1998       4       3      2100      12      12    -999
 425000    RAIN        NCM     1998       4       4       900      12      38    -999
 425000    RAIN        NCM     1998       4       4      2100      12      94    -999
 425000    RAIN        NCM     1998       4       5       900      12     178    -999
 425000    RAIN        NCM     1998       4       5      2100      12      22    -999
 425000    RAIN        NCM     1998       4       6       900      12      36    -999
 425000    RAIN        NCM     1998       4       6      2100      12       6    -999
 425000    RAIN        NCM     1998       4       7       900      12       2    -999
 425000    RAIN        NCM     1998       4       7      2100      12       0    -999
 425000    RAIN        NCM     1998       4       8       900      12      10    -999
 425000    RAIN        NCM     1998       4       8      2100      12      72    -999
 425000    RAIN        NCM     1998       4       9       900      12      14    -999
 425000    RAIN        NCM     1998       4       9      2100      12       2    -999
 425000    RAIN        NCM     1998       4      10       900      12       0    -999
 425000    RAIN        NCM     1998       4      10      2100      12       4    -999
 425000    RAIN        NCM     1998       4      11       900      12       2    -999
 425000    RAIN        NCM     1998       4      11      2100      12       4    -999
 425000    RAIN        NCM     1998       4      12       900      12      12    -999
 425000    RAIN        NCM     1998       4      12      2100      12       0    -999
 425000    RAIN        NCM     1998       4      13       900      12       4    -999
 425000    RAIN        NCM     1998       4      13      2100      12      12    -999
 425000    RAIN        NCM     1998       4      14       900      12       8    -999
 425000    RAIN        NCM     1998       4      14      2100      12       2    -999
 425000    RAIN        NCM     1998       4      15       900      12      12    -999
 425000    RAIN        NCM     1998       4      15      2100      12       8    -999
 425000    RAIN        NCM     1998       4      16       900      12       6    -999
 425000    RAIN        NCM     1998       4      16      2100      12       0    -999
 425000    RAIN        NCM     1998       4      17       900      12      54    -999
 425000    RAIN        NCM     1998       4      17      2100      12       0    -999
 425000    RAIN        NCM     1998       4      18       900      12       0    -999
 425000    RAIN        NCM     1998       4      18      2100      12       0    -999
 425000    RAIN        NCM     1998       4      19       900      12       0    -999
 425000    RAIN        NCM     1998       4      19      2100      12     122    -999
 425000    RAIN        NCM     1998       4      20       900      12      18    -999
 425000    RAIN        NCM     1998       4      20      2100      12       0    -999
 425000    RAIN        NCM     1998       4      21       900      12       6    -999
