 ID        IDTYPE  MET_DOM     YEAR     MON     DAY    TIME   COUNT   MAX_T   MIN_T  MIN_GRASS_T  MIN_CONC_T
 7948      DCNN        NCM     1998       2      15    2100      12     151      93         -999        -999
 7948      DCNN        NCM     1998       2      16     900      12      93      61           50        -999
 7948      DCNN        NCM     1998       2      16    2100      12      86      63         -999        -999
 7948      DCNN        NCM     1998       2      17     900      12      64      22          -27        -999
 7948      DCNN        NCM     1998       2      17    2100      12      96      44         -999        -999
 7948      DCNN        NCM     1998       2      18     900      12      56      -6          -33        -999
 7948      DCNN        NCM     1998       2      18    2100      12      94      27         -999        -999
 7948      DCNN        NCM     1998       2      19     900      12      88      38           -2        -999
 7948      DCNN        NCM     1998       2      19    2100      12      89      76         -999        -999
 7948      DCNN        NCM     1998       2      20     900      12      91      73           50        -999
 7948      DCNN        NCM     1998       2      20    2100      12     131      87         -999        -999
 7948      DCNN        NCM     1998       2      21     900      12     101      55           43        -999
 7948      DCNN        NCM     1998       2      21    2100      12      82      35         -999        -999
 7948      DCNN        NCM     1998       2      22     900      12      42      12          -10        -999
 7948      DCNN        NCM     1998       2      22    2100      12      77      31         -999        -999
 7948      DCNN        NCM     1998       2      23     900      12      79      50           28        -999
 7948      DCNN        NCM     1998       2      23    2100      12      91      78         -999        -999
 7948      DCNN        NCM     1998       2      24     900      12      86      55           -5        -999
 7948      DCNN        NCM     1998       2      24    2100      12     110      40         -999        -999
 7948      DCNN        NCM     1998       2      25     900      12      64      35           -2        -999
 7948      DCNN        NCM     1998       2      25    2100      12      82      55         -999        -999
 7948      DCNN        NCM     1998       2      26     900      12      65      52           42        -999
 7948      DCNN        NCM     1998       2      26    2100      12      79      59         -999        -999
 7948      DCNN        NCM     1998       2      27     900      12      63      42           25        -999
 7948      DCNN        NCM     1998       2      27    2100      12      77      35         -999        -999
 7948      DCNN        NCM     1998       2      28     900      12      44      -4          -21        -999
 7948      DCNN        NCM     1998       2      28    2100      12      32      -4         -999        -999
 7948      DCNN        NCM     1998       3       1     900      12      27       2          -15        -999
 7948      DCNN        NCM     1998       3       1    2100      12      69      20         -999        -999
 7948      DCNN        NCM     1998       3       2     900      12      57      47           30        -999
 7948      DCNN        NCM     1998       3       2    2100      12      80      52         -999        -999
 7948      DCNN        NCM     1998       3       3     900      12     107      78           75        -999
 7948      DCNN        NCM     1998       3       3    2100      12     122      81         -999        -999
 7948      DCNN        NCM     1998       3       4     900      12     108      18           11        -999
 7948      DCNN        NCM     1998       3       4    2100      12      65      14         -999        -999
 7948      DCNN        NCM     1998       3       5     900      12      37      19           -3        -999
 7948      DCNN        NCM     1998       3       5    2100      12      74      31         -999        -999
 7948      DCNN        NCM     1998       3       6     900      12     100      44           37        -999
 7948      DCNN        NCM     1998       3       6    2100      12     104      89         -999        -999
 7948      DCNN        NCM     1998       3       7     900      12      93      73           61        -999
 7948      DCNN        NCM     1998       3       7    2100      12      94      59         -999        -999
 7948      DCNN        NCM     1998       3       8     900      12      69      43           21        -999
 7948      DCNN        NCM     1998       3       8    2100      12      69      25         -999        -999
 7948      DCNN        NCM     1998       3       9     900      12      25       4           10        -999
 7948      DCNN        NCM     1998       3       9    2100      12      77      21         -999        -999
 7948      DCNN        NCM     1998       3      10     900      12      43      -4          -26        -999
 7948      DCNN        NCM     1998       3      10    2100      12      85      43         -999        -999
 7948      DCNN        NCM     1998       3      11     900      12      80      35           28        -999
 7948      DCNN        NCM     1998       3      11    2100      12      71      27         -999        -999
 7948      DCNN        NCM     1998       3      12     900      12      34       7          -33        -999
 7948      DCNN        NCM     1998       3      12    2100      12      77      23         -999        -999
 7948      DCNN        NCM     1998       3      13     900      12      73      65           39        -999
 7948      DCNN        NCM     1998       3      13    2100      12      87      62         -999        -999
 7948      DCNN        NCM     1998       3      14     900      12      72      62           52        -999
 7948      DCNN        NCM     1998       3      14    2100      12     113      68         -999        -999
 7948      DCNN        NCM     1998       3      15     900      12      75      68           56        -999
 7948      DCNN        NCM     1998       3      15    2100      12      94      58         -999        -999
 7948      DCNN        NCM     1998       3      16     900      12      65      54           45        -999
 7948      DCNN        NCM     1998       3      16    2100      12      84      64         -999        -999
 7948      DCNN        NCM     1998       3      17     900      12      81      69           46        -999
 7948      DCNN        NCM     1998       3      17    2100      12      98      72         -999        -999
 7948      DCNN        NCM     1998       3      18     900      12      85      51            2        -999
 7948      DCNN        NCM     1998       3      18    2100      12     118      65         -999        -999
 7948      DCNN        NCM     1998       3      19     900      12      66      19          -23        -999
 7948      DCNN        NCM     1998       3      19    2100      12     110      37         -999        -999
 7948      DCNN        NCM     1998       3      20     900      12      71      35          -10        -999
 7948      DCNN        NCM     1998       3      20    2100      12      91      66         -999        -999
 7948      DCNN        NCM     1998       3      21     900      12      69      59           51        -999
 7948      DCNN        NCM     1998       3      21    2100      12      92      68         -999        -999
 7948      DCNN        NCM     1998       3      22     900      12      68      24           -7        -999
 7948      DCNN        NCM     1998       3      22    2100      12     100      43         -999        -999
 7948      DCNN        NCM     1998       3      23     900      12      63      46            6        -999
 7948      DCNN        NCM     1998       3      23    2100      12      76      51         -999        -999
 7948      DCNN        NCM     1998       3      24     900      12      51      35           36        -999
 7948      DCNN        NCM     1998       3      24    2100      12      71      49         -999        -999
 7948      DCNN        NCM     1998       3      25     900      12      76      66           67        -999
 7948      DCNN        NCM     1998       3      25    2100      12      92      70         -999        -999
 7948      DCNN        NCM     1998       3      26     900      12      93      84           85        -999
 7948      DCNN        NCM     1998       3      26    2100      12     100      86         -999        -999
 7948      DCNN        NCM     1998       3      27     900      12      98      62           17        -999
 7948      DCNN        NCM     1998       3      27    2100      12     118      87         -999        -999
 7948      DCNN        NCM     1998       3      28     900      12      87      72           53        -999
 7948      DCNN        NCM     1998       3      28    2100      12     149      86         -999        -999
 7948      DCNN        NCM     1998       3      29     900      12     100      74           36        -999
 7948      DCNN        NCM     1998       3      30     900      24     125      90           75        -999
 7948      DCNN        NCM     1998       3      31     900      12     104      50           41        -999
 7948      DCNN        NCM     1998       3      31     900      24     115      50         -999        -999
 7948      DCNN        NCM     1998       4       1     900      12      95      60           54        -999
 7948      DCNN        NCM     1998       4       1     900      24     141    -999         -999        -999
 7948      DCNN        NCM     1998       4       1    2100      12      78      62         -999        -999
 7948      DCNN        NCM     1998       4       2     900      12      73      57           49        -999
 7948      DCNN        NCM     1998       4       2    2100      12     108      66         -999        -999
 7948      DCNN        NCM     1998       4       3     900      12      78      42           47        -999
 7948      DCNN        NCM     1998       4       3    2100      12      98      57         -999        -999
 7948      DCNN        NCM     1998       4       4     900      12      73      59           66        -999
 7948      DCNN        NCM     1998       4       4    2100      12      86      61         -999        -999
 7948      DCNN        NCM     1998       4       5     900      12      74      56           58        -999
 7948      DCNN        NCM     1998       4       5    2100      12      85      55         -999        -999
 7948      DCNN        NCM     1998       4       6     900      12      82      48           29        -999
 7948      DCNN        NCM     1998       4       6    2100      12     106      49         -999        -999
 7948      DCNN        NCM     1998       4       7     900      12      74      13           16        -999
 7948      DCNN        NCM     1998       4       7    2100      12     107      60         -999        -999
 7948      DCNN        NCM     1998       4       8     900      12      65      37           27        -999
 7948      DCNN        NCM     1998       4       8    2100      12      68      24         -999        -999
 7948      DCNN        NCM     1998       4       9     900      12      46      31           37        -999
 7948      DCNN        NCM     1998       4       9    2100      12      51      26         -999        -999
 7948      DCNN        NCM     1998       4      10     900      12      27       4            6        -999
 7948      DCNN        NCM     1998       4      10    2100      12      38       1         -999        -999
 7948      DCNN        NCM     1998       4      11     900      12       3      -6            7        -999
 7948      DCNN        NCM     1998       4      11    2100      12      35       0         -999        -999
 7948      DCNN        NCM     1998       4      12     900      12      31     -14            2        -999
 7948      DCNN        NCM     1998       4      12    2100      12      49      -3         -999        -999
 7948      DCNN        NCM     1998       4      13     900      12      34      -9           -6        -999
 7948      DCNN        NCM     1998       4      13    2100      12      54       1         -999        -999
 7948      DCNN        NCM     1998       4      14     900      12      30     -13           13        -999
 7948      DCNN        NCM     1998       4      14    2100      12      56       2         -999        -999
 7948      DCNN        NCM     1998       4      15     900      12       4     -13           12        -999
 7948      DCNN        NCM     1998       4      15    2100      12      51       3         -999        -999
 7948      DCNN        NCM     1998       4      16     900      12      28       3            9        -999
 7948      DCNN        NCM     1998       4      16    2100      12      67      26         -999        -999
 7948      DCNN        NCM     1998       4      17     900      12      47      15           15        -999
 7948      DCNN        NCM     1998       4      17    2100      12      73      32         -999        -999
 7948      DCNN        NCM     1998       4      18     900      12      66      13            6        -999
 7948      DCNN        NCM     1998       4      18    2100      12      99      42         -999        -999
 7948      DCNN        NCM     1998       4      19     900      12      44      21            8        -999
 7948      DCNN        NCM     1998       4      19    2100      12      69      39         -999        -999
 7948      DCNN        NCM     1998       4      20     900      12      74      60           59        -999
 7948      DCNN        NCM     1998       4      20    2100      12      98      39         -999        -999
 7948      DCNN        NCM     1998       4      21     900      12      62      36           23        -999
