298752.37 316119.84
298744.57 316035.05
298748.71 316002.77
298724.59 315974.41
298720.93 315857.35
298712.99 315812.92
298672.77 315772.37
298685.04 315723.99
298649 315635.03
298717.83 315562.7
298798.62 315538.87
298827.05 315482.49
298924 315450.65
298992.63 315446.94
299101.49 315475.71
299153.89 315496.13
299202.26 315512.49
299234.6 315496.51
299287.1 315484.64
299311.4 315456.5
299371.99 315440.65
299412.33 315444.86
299501.22 315412.99
299541.57 315413.18
299581.99 315393.19
299650.62 315385.44
299719.21 315393.83
299751.41 315418.2
299787.73 315418.37
299807.81 315446.71
299840.1 315446.86
299904.57 315479.45
299985.26 315487.9




298838.34 317004.14
298939.23 317004.61
298983.58 317016.92
299043.93 317077.75
299092.28 317102.19
299128.37 317170.97
299152.43 317219.52
299188.61 317264.08
299204.6 317312.59
299260.99 317349.18
299305.27 317381.67
299385.7 317470.84
299454.06 317547.84
299514.28 317644.99
299566.49 317725.96
299562.33 317766.3
299626.66 317839.25
299630.47 317911.92
299622.17 317984.53


299288.45 317595.5
299345.06 317559.44
299425.77 317559.82
299454.06 317547.84


299531.12 317427.13
299486.54 317487.46
299482.37 317527.8
299462.14 317543.84


299826.33 317238.81
299899.17 317174.57
299972.02 317106.3


299965.16 316726.88
299989.54 316678.56


298835.13 316745.81
298911.96 316697.74
298992.55 316734.44
299033.12 316670.05
299101.8 316646.16
299154.38 316610.08
299190.67 316618.32
299324.14 316526.11
299344.42 316493.92
299328.36 316465.59
299385.15 316377.07
299405.39 316356.98
299401.6 316280.27
299393.72 316219.7
299462.43 316187.73
299523.26 316095.19
299555.7 316046.91
299608.33 315994.69
299737.62 315946.86
299794.3 315890.62
299842.86 315846.45
299887.44 315790.16
299899.72 315733.7
299940.26 315677.39
299960.59 315629.05


299760.49 315103.43
299820.9 315140.03
299913.63 315168.72
299945.85 315189.06




298755.1 315264.21
298867.99 315297.03
298908.26 315325.47
298908.2 315345.64
298960.67 315341.85
299000.77 315422.76
299024.86 315459.2


296767.47 319722.83
296767.68 319658.26
296759.7 319629.97
296751.78 319581.49
296735.79 319537.02
296747.96 319516.9
296772.39 319448.4
296748.31 319403.89
296748.43 319367.57
296748.63 319302.99
296761.16 319173.9


297792.74 319654.97
297805.02 319602.56
297788.94 319582.31
297780.98 319545.94
297768.95 319521.67
297773.14 319473.26
297757.15 319424.75
297753.24 319388.41
297725.1 319351.96
297721.22 319303.5
297701.12 319279.19
297685.06 319254.9
297652.86 319226.5


298333.19 319758.4
298228.26 319757.91
298191.99 319741.59
298192.1 319705.27
298159.94 319668.8
298139.86 319636.41
298099.59 319607.97
298075.41 319599.78
298063.73 319466.54
298007.65 319337.13
297963.3 319320.77
297931.16 319276.23
297919.15 319243.89
297786.13 319194.83


298409.75 319795.08
298409.51 319867.73
298425.51 319912.21
298461.64 319972.91
298457.53 319997.11


298328.77 319879.46
298373.14 319883.7
298409.5 319871.77


298454.22 319767.04
298522.78 319783.5
298534.77 319819.88
298595.35 319808.06
298643.74 319816.35
298744.75 319780.5
298825.63 319728.41
298902.34 319716.66
298979.19 319664.56
299104.5 319596.53


299761.08 319983.02
299866.15 319939.12
299959.08 319903.23
299999.49 319887.27


298383.8 317805.19
298387.69 317853.63
298371.48 317869.71
298387.33 317962.61


295110.89 319077.39
295236.04 319061.83
295292.66 319025.77
295446.14 318986.13
295652.07 318950.77
295781.41 318886.8
295926.95 318806.75
296043.85 318847.66
296152.83 318844.13
296197.31 318816.09
296253.73 318840.57
296310.27 318828.73
296387.1 318780.65
296455.74 318768.86
296480.07 318732.65
296532.57 318720.79
296585.03 318721.04
296629.39 318733.35
296713.95 318790.25
296770.52 318766.3
296875.45 318766.79
296907.75 318762.9
296960.12 318791.41
297032.72 318803.85
297085.02 318856.56
297149.56 318864.94
297319.04 318869.76
297488.64 318838.27
297500.69 318854.47
297573.33 318854.81
297694.33 318875.55
297734.82 318835.38
297868.02 318827.94
297968.98 318804.19
298037.67 318780.29
298078.26 318703.8
298122.73 318679.79
298151.24 318599.2
298139.31 318542.64
298167.69 318502.41
298216.17 318486.49
298256.66 318446.32
298345.62 318390.23
298438.52 318362.42
298478.87 318366.64
298535.52 318318.47
298604.15 318310.72
298692.87 318331.32
298753.39 318335.64
298805.87 318331.85
298818.09 318291.54
298850.37 318295.73
298906.8 318316.17
299007.8 318280.32
299108.68 318284.83
299230.05 318192.57
299286.55 318188.8
299294.76 318148.47
299371.49 318132.68
299411.66 318189.38
299480.84 318008.08
299638.3 317984.6
299686.88 317940.43
299860.39 317945.28
299928.85 317990


297652.42 318096.41
297688.55 318157.11
297724.67 318221.86
297768.93 318262.43
297792.98 318315
297837.29 318339.43
297857.44 318347.59
297889.54 318408.29
298014.18 318554.16


297798.25 319194.89
297782.19 319166.56
297749.95 319150.26
297737.92 319130.03
297738.01 319101.78
297701.8 319065.29
297701.95 319016.85
297677.82 318992.52


299181.36 319540.38
299229.86 319516.39
299262.1 319532.68
299330.79 319504.75
299347.06 319464.47
299419.79 319436.56
299476.22 319461.03
299504.46 319461.16
299516.65 319437.01
299617.79 319356.76
299625.98 319320.47
299666.36 319312.59
299694.7 319284.48
299743.21 319256.44
299799.82 319224.42
299896.89 319156.26
299996.4 318325.3
299923.86 318288.64
299879.62 318244.03
299879.88 318163.32
