0.500 -20.8369 0.0000 0.0000
0.525 -17.7423 0.0000 0.0000
0.550 -14.7563 0.0000 0.0000
0.575 -11.8704 0.0000 0.0000
0.600 -9.0772 0.0000 0.0000
0.625 -6.3700 0.0000 0.0000
0.650 -3.7427 0.0000 0.0000
0.675 -1.1903 0.0000 0.0000
0.700  1.2923 0.0000 0.0000
0.725  3.7092 0.0000 0.0000
0.750  6.0644 0.0000 0.0000
0.775  8.3614 0.0000 0.0000
0.800 10.6035 0.0000 0.0000
0.825 12.7936 0.0000 0.0000
0.850 14.9346 0.0000 0.0000
0.875 17.0288 0.0000 0.0000
0.900 19.0786 0.0000 0.0000
0.925 21.0861 0.0000 0.0000
0.950 23.0533 0.0000 0.0000
0.975 24.9821 0.0000 0.0000
1.000 26.8742 0.0000 0.0000
1.025 28.7311 0.0000 0.0000
1.050 30.5543 0.0000 0.0000
1.075 32.3453 0.0000 0.0000
1.100 34.1053 0.0000 0.0000
1.125 35.8355 0.0000 0.0000
1.150 37.5371 0.0000 0.0000
1.175 39.2112 0.0000 0.0000
1.200 40.8589 0.0000 0.0000
1.225 42.4809 0.0000 0.0000
1.250 44.0783 0.0000 0.0000
1.275 45.6520 0.0000 0.0000
1.300 47.2026 0.0000 0.0000
1.325 48.7311 0.0000 0.0000
1.350 50.2381 0.0000 0.0000
1.375 51.7243 0.0000 0.0000
1.400 53.1903 0.0000 0.0000
1.425 54.6369 0.0000 0.0000
1.450 56.0645 0.0000 0.0000
1.475 57.4738 0.0000 0.0000
1.500 58.8653 0.0000 0.0000
1.525 60.2395 0.0000 0.0000
1.550 61.5970 0.0000 0.0000
1.575 62.9381 0.0000 0.0000
1.600 64.2633 0.0000 0.0000
1.625 65.5731 0.0000 0.0000
1.650 66.8678 0.0000 0.0000
1.675 68.1480 0.0000 0.0000
1.700 69.4138 0.0000 0.0000
