YEAR MONTH DAY END_HOUR 0
1998 5 9 2100 0
1998 5 10 900 0
1998 5 10 2100 5.4
1998 5 11 900 3.4
1998 5 11 2100 0.8
1998 5 12 900 0.2
1998 5 12 2100 0
1998 5 13 900 0
1998 5 13 2100 0
1998 5 14 900 1.8
1998 5 14 2100 0
1998 5 15 900 0
1998 5 15 2100 0
1998 5 16 900 0
1998 5 16 2100 0
1998 5 17 900 0
1998 5 17 2100 0
1998 5 18 900 0
1998 5 18 2100 0
1998 5 19 900 0
1998 5 19 2100 0
1998 5 20 900 0
1998 5 20 2100 0
1998 5 21 900 0
1998 5 21 2100 0
1998 5 22 900 0
1998 5 22 2100 0
1998 5 23 900 0
1998 5 23 2100 0.2
1998 5 24 900 0
1998 5 24 2100 0
1998 5 25 900 0
1998 5 25 2100 0.4
1998 5 26 900 0
1998 5 26 2100 4.2
1998 5 27 900 0.2
1998 5 27 2100 0
1998 5 28 900 0
1998 5 28 2100 0
1998 5 29 900 0
1998 5 29 2100 0
1998 5 30 900 0
1998 5 30 2100 0
1998 5 31 900 3
1998 5 31 2100 0
1998 6 1 900 0
1998 6 1 2100 7.8
1998 6 2 900 18.6
1998 6 2 2100 9.4
1998 6 3 900 0
1998 6 3 2100 0
1998 6 4 900 0
1998 6 4 2100 0
1998 6 5 900 0
1998 6 5 2100 0
1998 6 6 900 4.8
1998 6 6 2100 3.8
1998 6 7 900 6.4
1998 6 7 2100 1.4
1998 6 8 900 0
1998 6 8 2100 14.8
1998 6 9 900 3
1998 6 9 2100 3.2
1998 6 10 900 5.2
1998 6 10 2100 0.2
1998 6 11 900 5.2
1998 6 11 2100 0
1998 6 12 900 0
1998 6 12 2100 0
1998 6 13 900 9.2
1998 6 13 2100 15.8
1998 6 14 900 3
1998 6 14 2100 0.2
1998 6 15 900 0
1998 6 15 2100 0.2
1998 6 16 900 0
1998 6 16 2100 2
1998 6 17 900 2.6
1998 6 17 2100 1.4
1998 6 18 900 10.2
1998 6 18 2100 5.6
1998 6 19 900 0.2
1998 6 19 2100 0
1998 6 20 900 0
1998 6 20 2100 1.6
1998 6 21 900 0
1998 6 21 2100 0
1998 6 22 900 4
1998 6 22 2100 0
1998 6 23 900 4.2
1998 6 23 2100 0.2
1998 6 24 900 3.2
1998 6 24 2100 1.6
1998 6 25 900 1
1998 6 25 2100 0.6
1998 6 26 900 5.8
1998 6 26 2100 4
1998 6 27 900 6.4
1998 6 27 2100 1.8
1998 6 28 900 0
1998 6 28 2100 3
1998 6 29 900 0
1998 6 29 2100 0
1998 6 30 900 0.2
1998 6 30 2100 0
1998 7 1 900 0
1998 7 1 2100 0
1998 7 2 900 0
1998 7 2 2100 0
1998 7 3 900 0
1998 7 4 900 0
1998 7 4 2100 0
1998 7 5 900 0
1998 7 5 2100 0
