0.500 -20.7109 0.0100 0.0100 0.0100
0.525 -17.6147 0.0100 0.0100 0.0100
0.550 -14.6273 0.0100 0.0100 0.0100
0.575 -11.7400 0.0100 0.0100 0.0100
0.600 -8.9454 0.0100 0.0100 0.0100
0.625 -6.2367 0.0100 0.0100 0.0100
0.650 -3.6082 0.0100 0.0100 0.0100
0.675 -1.0545 0.0100 0.0100 0.0100
0.700  1.4293 0.0100 0.0100 0.0100
0.725 23.9434 0.6503 0.0299 0.0100
0.750 22.0697 0.3910 0.2962 0.0100
0.775 21.6070 0.2309 0.4571 0.0100
0.800 21.6238 0.1060 0.5828 0.0100
0.825 22.6664 0.0421 0.6466 0.0100
0.850 24.4148 0.0222 0.6605 0.0100
0.875 26.0299 0.0100 0.6582 0.0133
0.900 25.0457 0.0100 0.5961 0.0802
0.925 24.6085 0.0100 0.5459 0.1310
0.950 24.2526 0.0100 0.4997 0.1775
0.975 23.9372 0.0100 0.4565 0.2207
1.000 23.6408 0.0100 0.4159 0.2615
1.025 23.3670 0.0100 0.3777 0.2997
1.050 23.1181 0.0100 0.3417 0.3358
1.075 22.8724 0.0100 0.3075 0.3701
1.100 22.6535 0.0100 0.2752 0.4023
1.125 22.4338 0.0100 0.2445 0.4332
1.150 22.2380 0.0100 0.2154 0.4623
1.175 22.0488 0.0100 0.1877 0.4901
1.200 21.8745 0.0100 0.1614 0.5165
1.225 21.7072 0.0100 0.1362 0.5417
1.250 21.5574 0.0100 0.1124 0.5656
1.275 21.4295 0.0100 0.0899 0.5884
1.300 21.3220 0.0100 0.0686 0.6100
1.325 21.2490 0.0100 0.0487 0.6303
1.350 21.2510 0.0100 0.0309 0.6491
1.375 21.4397 0.0100 0.0168 0.6650
1.400 22.0391 0.0100 0.0100 0.6754
1.425 23.1488 0.0100 0.0100 0.6790
1.450 24.3851 0.0100 0.0100 0.6799
1.475 25.7933 0.0100 0.0100 0.6775
1.500 27.5250 0.0100 0.0100 0.6690
1.525 30.3692 0.0100 0.0100 0.6402
1.550 61.7641 0.0100 0.0100 0.0100
1.575 63.1059 0.0100 0.0100 0.0100
1.600 64.4318 0.0100 0.0100 0.0100
1.625 65.7422 0.0100 0.0100 0.0100
1.650 67.0376 0.0100 0.0100 0.0100
1.675 68.3184 0.0100 0.0100 0.0100
1.700 69.5849 0.0100 0.0100 0.0100
