19980101T1200   27
19980102T1200  169
19980103T1200   72
19980104T1200   18
19980105T1200   10
19980106T1200   20
19980107T1200  110
19980108T1200   17
19980109T1200   68
19980110T1200  105
19980111T1200  111
19980112T1200   28
19980113T1200   11
19980114T1200  147
19980115T1200   54
19980116T1200   66
19980117T1200   60
19980118T1200   65
19980119T1200  111
19980120T1200  181
19980121T1200   61
19980122T1200   36
19980123T1200   80
19980124T1200  157
19980125T1200  195
19980126T1200  135
19980127T1200  104
19980128T1200  255
19980129T1200  138
19980130T1200   81
19980131T1200   61
19980201T1200  241
19980202T1200  125
19980203T1200  259
19980204T1200  156
19980205T1200  125
19980206T1200  204
19980207T1200  224
19980208T1200  152
19980209T1200  107
19980210T1200   93
19980211T1200   97
19980212T1200   33
19980214T1200  312
19980215T1200  199
19980216T1200   78
19980217T1200  381
19980218T1200  341
19980219T1200  114
19980220T1200   56
19980222T1200  424
19980223T1200   69
19980224T1200  249
19980225T1200  195
19980226T1200   78
19980227T1200  145
19980228T1200  284
19980301T1200  295
19980302T1200  114
19980303T1200  297
19980304T1200  467
19980306T1200  133
19980307T1200  167
19980308T1200  272
19980309T1200  379
19980310T1200   44
19980311T1200  454
19980312T1200  272
19980313T1200  128
19980314T1200  222
19980315T1200  428
19980316T1200  139
19980317T1200  201
19980318T1200  544
19980320T1200  229
19980321T1200  225
19980322T1200  585
19980323T1200  122
19980324T1200   50
19980325T1200  158
19980326T1200  108
19980327T1200  104
19980328T1200  614
19980329T1200  156
19980331T1200  661
19980401T1200   75
19980402T1200  509
19980403T1200  278
19980404T1200  158
19980405T1200  281
19980406T1200  576
19980407T1200  605
19980408T1200  203
19980409T1200  153
19980410T1200  347
19980411T1200  598
19980412T1200  764
19980413T1200  744
19980414T1200  431
19980415T1200  204
19980416T1200  506
19980417T1200  582
19980418T1200  592
19980419T1200   99
19980420T1200  360
19980421T1200   84
19980422T1200   83
19980423T1200   92
19980424T1200  476
19980425T1200  767
19980426T1200  688
19980427T1200  296
19980428T1200  374
19980429T1200  482
19980430T1200  570
19980501T1200  831
19980503T1200  877
19980504T1200  360
19980505T1200   86
19980506T1200  305
19980507T1200  282
19980508T1200  679
19980509T1200  677
19980510T1200  451
19980511T1200  100
19980514T1200  387
19980521T1200  826
19980522T1200  578
19980523T1200  184
19980524T1200  370
19980525T1200  234
19980526T1200  378
19980527T1200  759
19980528T1200  389
19980529T1200  532
19980531T1200  387
19980601T1200  599
19980602T1200   72
19980603T1200  625
19980604T1200  553
19980605T1200  206
19980606T1200  210
19980607T1200  362
19980608T1200  124
19980609T1200  394
19980610T1200  559
19980611T1200  537
19980612T1200  731
19980613T1200  289
19980614T1200  248
19980615T1200  431
19980616T1200  562
19980617T1200  298
19980618T1200  349
19980620T1200  145
19980621T1200  339
19980622T1200  516
19980623T1200  364
19980624T1200  253
19980625T1200  948
19980626T1200  439
19980627T1200  445
19980628T1200  915
19980629T1200  181
19980630T1200  203
19980701T1200  363
19980702T1200  178
19980704T1200  527
19980705T1200  503
19980706T1200  356
19980708T1200  701
19980709T1200  328
19980710T1200  545
19980711T1200  262
19980712T1200  306
19980713T1200  523
19980714T1200  300
19980715T1200  392
19980717T1200  395
19980718T1200  654
19980719T1200  250
19980720T1200   98
19980721T1200  565
19980722T1200  175
19980723T1200  406
19980724T1200  592
19980725T1200  546
19980726T1200  217
19980727T1200  287
19980728T1200  603
19980729T1200  270
19980730T1200  195
19980731T1200  551
19980801T1200  233
19980802T1200  431
19980803T1200   67
19980804T1200  549
19980806T1200  161
19980807T1200  150
19980810T1200  264
19980812T1200  203
19980813T1200  292
19980814T1200   98
19980815T1200  851
19980816T1200  292
19980817T1200  759
19980818T1200  299
19980820T1200  339
19980821T1200  295
19980822T1200  573
19980823T1200  109
19980824T1200  613
19980825T1200  253
19980826T1200  218
19980828T1200  245
19980831T1200  240
19980901T1200  309
19980904T1200  153
19980905T1200  462
19980906T1200  173
19980907T1200  148
19980908T1200  427
19980909T1200  278
19980910T1200  253
19980911T1200  464
19980912T1200  687
19980913T1200  663
19980914T1200  331
19980915T1200  373
19980916T1200  451
19980917T1200  398
19980918T1200  289
19980919T1200  195
19980920T1200  592
19980921T1200  100
19980922T1200  228
19980923T1200  428
19980924T1200   70
19980925T1200   59
19980926T1200   70
19980927T1200  128
19980928T1200  118
19980929T1200  570
19980930T1200  315
19981001T1200  113
19981002T1200  127
19981003T1200  551
19981004T1200  363
19981005T1200  281
19981006T1200  194
19981007T1200  428
19981008T1200  453
19981009T1200  342
19981010T1200  275
19981011T1200  494
19981012T1200  467
19981013T1200  107
19981014T1200  365
19981015T1200  203
19981016T1200   55
19981017T1200  253
19981018T1200  387
19981019T1200  403
19981020T1200   69
19981021T1200   72
19981022T1200  281
19981023T1200   52
19981024T1200   52
19981025T1200  228
19981026T1200  336
19981027T1200   48
19981028T1200  194
19981029T1200  150
19981030T1200  363
19981031T1200   45
19981101T1200  264
19981102T1200   23
19981103T1200   68
19981104T1200  262
19981105T1200  205
19981107T1200   88
19981108T1200  112
19981109T1200  332
19981110T1200  317
19981111T1200  224
19981113T1200   97
19981114T1200  208
19981115T1200  284
19981116T1200  292
19981118T1200   94
19981119T1200  145
19981120T1200  144
19981121T1200   15
19981122T1200   24
19981123T1200  230
19981124T1200  261
19981203T1200   47
19981204T1200  242
19981205T1200   58
19981206T1200  158
19981209T1200   72
19981210T1200   14
19981211T1200  114
