 ID        IDTYPE  MET_DOM     YEAR     MON     DAY  END_HOUR   COUNT  GLOBAL  DIFFUSE  DIRECT
 7948      DCNN    ESAWRADT    1998       1       4      1300       1      26     -999    -999
 7948      DCNN    ESAWRADT    1998       1       4      1400       1      29     -999    -999
 7948      DCNN    ESAWRADT    1998       1       4      1500       1      15     -999    -999
 7948      DCNN    ESAWRADT    1998       1       4      1600       1       7     -999    -999
 7948      DCNN    ESAWRADT    1998       1       4      1700       1       3     -999    -999
 7948      DCNN    ESAWRADT    1998       1       4      1800       1       1     -999    -999
 7948      DCNN    ESAWRADT    1998       1       4      1900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       4      2000       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       4      2100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       4      2200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       4      2300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5         0       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5       100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5       300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5       400       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5       500       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5       600       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5       700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5       800       1      -1     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5       900       1       2     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      1000       1       8     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      1100       1      10     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      1200       1      10     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      1300       1      21     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      1400       1      16     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      1500       1      21     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      1600       1      13     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      1700       1       2     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      1800       1      -1     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      1900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      2000       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      2100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      2200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       5      2300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6         0       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6       100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6       200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6       300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6       400       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6       500       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6       600       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6       700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6       800       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6       900       1       3     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      1000       1      11     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      1100       1      14     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      1200       1      20     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      1300       1      17     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      1400       1      22     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      1500       1      14     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      1600       1      20     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      1700       1       6     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      1800       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      1900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      2000       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      2200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       6      2300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7         0       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7       100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7       200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7       300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7       400       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7       500       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7       600       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7       700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7       800       1      -1     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7       900       1       5     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      1000       1      27     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      1100       1      52     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      1200       1     110     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      1300       1     113     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      1400       1      71     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      1500       1      46     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      1600       1      24     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      1700       1       2     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      1800       1      -1     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      1900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      2000       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      2100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      2200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       7      2300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8         0       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8       100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8       200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8       300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8       400       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8       500       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8       600       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8       700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8       800       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8       900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      1000       1       6     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      1100       1      17     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      1200       1      17     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      1300       1      17     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      1400       1      14     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      1500       1       8     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      1600       1       6     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      1700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      1800       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      1900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      2000       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      2100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      2200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       8      2300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9         0       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9       100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9       200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9       300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9       400       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9       500       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9       600       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9       700       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9       800       1       1     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9       900       1       1     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      1000       1      18     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      1100       1      32     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      1200       1      68     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      1300       1     109     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      1400       1      23     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      1500       1      68     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      1600       1      73     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      1700       1       7     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      1800       1      -2     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      1900       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      2000       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      2100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      2200       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1       9      2300       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10         0       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10       100       1       0     -999    -999
 7948      DCNN    ESAWRADT    1998       1      10       200       1       0     -999    -999
