0.500 -20.8621 0.0100 0.0100 0.0100 0.0100 0.0100
0.525 -17.7678 0.0100 0.0100 0.0100 0.0100 0.0100
0.550 -14.7821 0.0100 0.0100 0.0100 0.0100 0.0100
0.575 -11.8966 0.0100 0.0100 0.0100 0.0100 0.0100
0.600 -9.1036 0.0100 0.0100 0.0100 0.0100 0.0100
0.625 -6.3966 0.0100 0.0100 0.0100 0.0100 0.0100
0.650 -3.7697 0.0100 0.0100 0.0100 0.0100 0.0100
0.675 -1.2174 0.0100 0.0100 0.0100 0.0100 0.0100
0.700  1.2648 0.0100 0.0100 0.0100 0.0100 0.0100
0.725 24.6709 0.6060 0.0346 0.0193 0.0114 0.0100
0.750 22.1455 0.3720 0.2050 0.0977 0.0100 0.0100
0.775 21.7424 0.2332 0.3280 0.1147 0.0100 0.0100
0.800 21.7039 0.1172 0.4349 0.1251 0.0100 0.0100
0.825 22.2097 0.0435 0.4897 0.1447 0.0100 0.0100
0.850 22.9565 0.0100 0.4761 0.1914 0.0100 0.0100
0.875 22.7789 0.0100 0.3378 0.3301 0.0100 0.0100
0.900 22.5377 0.0100 0.2039 0.4647 0.0100 0.0100
0.925 22.7513 0.0100 0.1024 0.5666 0.0100 0.0100
0.950 23.7954 0.0100 0.0513 0.6163 0.0100 0.0100
0.975 24.9998 0.0100 0.0212 0.6363 0.0142 0.0116
1.000 24.9180 0.0100 0.0100 0.5896 0.0521 0.0317
1.025 24.3670 0.0100 0.0100 0.5118 0.1111 0.0519
1.050 24.0042 0.0100 0.0100 0.4401 0.1725 0.0628
1.075 23.7071 0.0100 0.0100 0.3716 0.2366 0.0677
1.100 23.4543 0.0100 0.0100 0.3058 0.3022 0.0683
1.125 23.2352 0.0100 0.0100 0.2427 0.3685 0.0654
1.150 23.0601 0.0100 0.0100 0.1827 0.4341 0.0602
1.175 22.9681 0.0100 0.0100 0.1275 0.4960 0.0541
1.200 23.0105 0.0100 0.0100 0.0789 0.5509 0.0484
1.225 23.3356 0.0100 0.0100 0.0421 0.5916 0.0453
1.250 24.8260 0.0100 0.0100 0.0405 0.5920 0.0454
1.275 26.3715 0.0100 0.0100 0.0368 0.5894 0.0460
1.300 28.0067 0.0100 0.0100 0.0306 0.5826 0.0474
1.325 29.8148 0.0100 0.0100 0.0221 0.5677 0.0502
1.350 32.2008 0.0100 0.0100 0.0103 0.5284 0.0575
1.375 51.6918 0.0100 0.0100 0.0100 0.0100 0.0100
1.400 53.1577 0.0100 0.0100 0.0100 0.0100 0.0100
1.425 54.6041 0.0100 0.0100 0.0100 0.0100 0.0100
1.450 56.0316 0.0100 0.0100 0.0100 0.0100 0.0100
1.475 57.4408 0.0100 0.0100 0.0100 0.0100 0.0100
1.500 58.8321 0.0100 0.0100 0.0100 0.0100 0.0100
1.525 60.2062 0.0100 0.0100 0.0100 0.0100 0.0100
1.550 61.5635 0.0100 0.0100 0.0100 0.0100 0.0100
1.575 62.9045 0.0100 0.0100 0.0100 0.0100 0.0100
1.600 64.2296 0.0100 0.0100 0.0100 0.0100 0.0100
1.625 65.5392 0.0100 0.0100 0.0100 0.0100 0.0100
1.650 66.8338 0.0100 0.0100 0.0100 0.0100 0.0100
1.675 68.1138 0.0100 0.0100 0.0100 0.0100 0.0100
1.700 69.3796 0.0100 0.0100 0.0100 0.0100 0.0100
