0.0	10.000
0.1	10.507
0.2	11.040
0.3	11.600
0.4	12.187
0.5	12.804
0.6	13.452
0.7	14.131
0.8	14.845
0.9	15.594
1.0	16.381
1.1	17.206
1.2	18.073
1.3	18.982
1.4	19.935
1.5	20.936
1.6	21.986
1.7	23.087
1.8	24.242
1.9	25.453
2.0	26.724
2.1	28.055
2.2	29.451
2.3	30.915
2.4	32.448
2.5	34.055
2.6	35.739
2.7	37.503
2.8	39.350
2.9	41.284
3.0	43.309
3.1	45.429
3.2	47.647
3.3	49.968
3.4	52.395
3.5	54.934
3.6	57.588
3.7	60.363
3.8	63.262
3.9	66.290
4.0	69.453
4.1	72.755
4.2	76.201
4.3	79.796
4.4	83.546
4.5	87.454
4.6	91.528
4.7	95.771
4.8	100.190
4.9	104.788
5.0	109.572
5.1	114.546
5.2	119.716
5.3	125.086
5.4	130.662
5.5	136.447
5.6	142.446
5.7	148.664
5.8	155.104
5.9	161.770
6.0	168.665
6.1	175.792
6.2	183.154
6.3	190.754
6.4	198.592
6.5	206.669
6.6	214.987
6.7	223.546
6.8	232.344
6.9	241.382
7.0	250.655
7.1	260.163
7.2	269.902
7.3	279.867
7.4	290.054
7.5	300.458
7.6	311.070
7.7	321.886
7.8	332.895
7.9	344.090
8.0	355.461
8.1	366.997
8.2	378.688
8.3	390.522
8.4	402.485
8.5	414.566
8.6	426.751
8.7	439.025
8.8	451.374
8.9	463.784
9.0	476.238
9.1	488.722
9.2	501.220
9.3	513.717
9.4	526.196
9.5	538.643
9.6	551.042
9.7	563.377
9.8	575.635
9.9	587.800
10.0	599.860
